id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_odoocms_domicile_manager,access.odoocms.domicile.manager,model_odoocms_domicile,odoocms.group_cms_manager,1,1,1,1
access_odoocms_district_user,access.odoocms.district.user,model_odoocms_district,odoocms.group_cms_user,1,1,1,0
access_odoocms_district_coordinator,access.odoocms.district.coordinator,model_odoocms_district,odoocms.group_cms_coordinator,1,1,1,0
access_odoocms_district_manager,access.odoocms.district.manager,model_odoocms_district,odoocms.group_cms_manager,1,1,1,1
access_odoocms_city_user,access.odoocms.city.user,model_odoocms_city,odoocms.group_cms_user,1,1,1,0
access_odoocms_city_coordinator,access.odoocms.city.coordinator,model_odoocms_city,odoocms.group_cms_coordinator,1,1,1,0
access_odoocms_city_manager,access.odoocms.city.manager,model_odoocms_city,odoocms.group_cms_manager,1,1,1,1

access_odoocms_marital_status_user,access.odoocms.marital.status.user,model_odoocms_marital_status,odoocms.group_cms_user,1,1,1,0
access_odoocms_marital_status_coordinator,access.odoocms.marital.status.coordinator,model_odoocms_marital_status,odoocms.group_cms_coordinator,1,1,1,0
access_odoocms_marital_status_manager,access.odoocms.marital.status.manager,model_odoocms_marital_status,odoocms.group_cms_manager,1,1,1,1

access_odoocms_publication_user,access.odoocms.publication.user,model_odoocms_publication,odoocms.group_cms_user,1,1,1,0
access_odoocms_publication_coordinator,access.odoocms.publication.coordinator,model_odoocms_publication,odoocms.group_cms_coordinator,1,1,1,0
access_odoocms_publication_manager,access.odoocms.publication.manager,model_odoocms_publication,odoocms.group_cms_manager,1,1,1,1

access_odoocms_award_user,access.odoocms.award.user,model_odoocms_award,odoocms.group_cms_user,1,1,1,0
access_odoocms_award_coordinator,access.odoocms.award.coordinator,model_odoocms_award,odoocms.group_cms_coordinator,1,1,1,0
access_odoocms_award_manager,access.odoocms.award.manager,model_odoocms_award,odoocms.group_cms_manager,1,1,1,1

access_odoocms_language_user,access.odoocms.language.user,model_odoocms_language,odoocms.group_cms_user,1,1,1,0
access_odoocms_language_coordinator,access.odoocms.language.coordinator,model_odoocms_language,odoocms.group_cms_coordinator,1,1,1,0
access_odoocms_language_manager,access.odoocms.language.manager,model_odoocms_language,odoocms.group_cms_manager,1,1,1,1

access_odoocms_extra_activity_user,access.odoocms.extra.activity.user,model_odoocms_extra_activity,odoocms.group_cms_user,1,1,1,0
access_odoocms_extra_activity_coordinator,access.odoocms.extra.activity.coordinator,model_odoocms_extra_activity,odoocms.group_cms_coordinator,1,1,1,0
access_odoocms_extra_activity_manager,access.odoocms.extra.activity.manager,model_odoocms_extra_activity,odoocms.group_cms_manager,1,1,1,1

access_odoocms_student_tag_user,access.odoocms.student.tag.user,model_odoocms_student_tag,odoocms.group_cms_user,1,0,0,0
access_odoocms_student_tag_coordinator,access.odoocms.student.tag.coordinator,model_odoocms_student_tag,odoocms.group_cms_coordinator,1,0,0,0
access_odoocms_student_tag_manager,access.odoocms.student.tag.manager,model_odoocms_student_tag,odoocms.group_cms_manager,1,1,0,0
access_odoocms_student_tag_system,access.odoocms.student.tag.system,model_odoocms_student_tag,base.group_system,1,1,1,1

access_odoocms_student_tag_category_user,access.odoocms.student.tag.category.user,model_odoocms_student_tag_category,odoocms.group_cms_user,1,0,0,0
access_odoocms_student_tag_category_coordinator,access.odoocms.student.tag.category.coordinator,model_odoocms_student_tag_category,odoocms.group_cms_coordinator,1,0,0,0
access_odoocms_student_tag_category_manager,access.odoocms.student.tag.category.manager,model_odoocms_student_tag_category,odoocms.group_cms_manager,1,1,0,0
access_odoocms_student_tag_category_system,access.odoocms.student.tag.category.system,model_odoocms_student_tag_category,base.group_system,1,1,1,1

access_odoocms_student_user,access.odoocms.student.user,model_odoocms_student,odoocms.group_cms_user,1,1,1,0
access_odoocms_student_coordinator,access.odoocms.student.coordinator,model_odoocms_student,odoocms.group_cms_coordinator,1,1,1,0
access_odoocms_student_manager,access.odoocms.student.manager,model_odoocms_student,odoocms.group_cms_manager,1,1,1,1
access_odoocms_student_portal,access.odoocms.student.portal,model_odoocms_student,base.group_portal,1,0,0,0

access_odoocms_student_history_user,access.odoocms.student.history.user,model_odoocms_student_history,odoocms.group_cms_user,1,1,1,0
access_odoocms_student_history_coordinator,access.odoocms.student.history.coordinator,model_odoocms_student_history,odoocms.group_cms_coordinator,1,1,1,0
access_odoocms_student_history_manager,access.odoocms.student.history.manager,model_odoocms_student_history,odoocms.group_cms_manager,1,1,1,0

access_odoocms_student_academic_user,access.odoocms.student.academic.user,model_odoocms_student_academic,odoocms.group_cms_user,1,1,1,0
access_odoocms_student_academic_coordinator,access.odoocms.student.academic.coordinator,model_odoocms_student_academic,odoocms.group_cms_coordinator,1,1,1,0
access_odoocms_student_academic_manager,access.odoocms.student.academic.manager,model_odoocms_student_academic,odoocms.group_cms_manager,1,1,1,1

access_odoocms_student_comment_user,access.odoocms.student.comment.user,model_odoocms_student_comment,odoocms.group_cms_user,1,1,1,0
access_odoocms_student_comment_coordinator,access.odoocms.student.comment.coordinator,model_odoocms_student_comment,odoocms.group_cms_coordinator,1,1,1,0
access_odoocms_student_comment_manager,access.odoocms.student.comment.manager,model_odoocms_student_comment,odoocms.group_cms_manager,1,1,1,1

access_odoocms_faculty_staff_user,access.odoocms.faculty.staff.user,model_odoocms_faculty_staff,odoocms.group_cms_user,1,1,1,0
access_odoocms_faculty_staff_coordinator,access.odoocms.faculty.staff.coordinator,model_odoocms_faculty_staff,odoocms.group_cms_coordinator,1,1,1,0
access_odoocms_faculty_staff_manager,access.odoocms.faculty.staff.manager,model_odoocms_faculty_staff,odoocms.group_cms_manager,1,1,1,1
access_odoocms_faculty_staff_portal,access.odoocms.faculty.staff.portal,model_odoocms_faculty_staff,base.group_portal,1,0,0,0

access_odoocms_faculty_staff_tag_user,access.odoocms.faculty.staff.tag.user,model_odoocms_faculty_staff_tag,odoocms.group_cms_user,1,1,1,0
access_odoocms_faculty_staff_tag_coordinator,access.odoocms.faculty.staff.tag.coordinator,model_odoocms_faculty_staff_tag,odoocms.group_cms_coordinator,1,1,1,0
access_odoocms_faculty_staff_tag_manager,access.odoocms.faculty.staff.tag.manager,model_odoocms_faculty_staff_tag,odoocms.group_cms_manager,1,1,1,1

access_odoocms_faculty_staff_position_user,access.odoocms.faculty.staff.position.user,model_odoocms_faculty_staff_position,odoocms.group_cms_user,1,1,1,0
access_odoocms_faculty_staff_position_coordinator,access.odoocms.faculty.staff.position.coordinator,model_odoocms_faculty_staff_position,odoocms.group_cms_coordinator,1,1,1,0
access_odoocms_faculty_staff_position_manager,access.odoocms.faculty.staff.position.manager,model_odoocms_faculty_staff_position,odoocms.group_cms_manager,1,1,1,1

access_odoocms_transcript_history_user,odoocms.transcript.history.user,model_odoocms_transcript_history,odoocms.group_cms_user,1,1,1,0
access_odoocms_transcript_history_coordinator,odoocms.transcript.history.coordinator,model_odoocms_transcript_history,odoocms.group_cms_coordinator,1,1,1,0
access_odoocms_transcript_history_manager,odoocms.transcript.history.manager,model_odoocms_transcript_history,odoocms.group_cms_manager,1,1,1,1

access_odoocms_student_change_state_rule_user,access.odoocms.student.change.state.rule.user,model_odoocms_student_change_state_rule,odoocms.group_cms_user,1,1,1,0
access_odoocms_student_change_state_rule_coordinator,access.odoocms.student.change.state.rule.coordinator,model_odoocms_student_change_state_rule,odoocms.group_cms_coordinator,1,1,1,0
access_odoocms_student_change_state_rule_manager,access.odoocms.student.change.state.rule.manager,model_odoocms_student_change_state_rule,odoocms.group_cms_manager,1,1,1,1

access_odoocms_student_profilechange_attribute_user,access.odoocms.student.profilechange.attribute.user,model_odoocms_student_profilechange_attribute,odoocms.group_cms_user,1,1,1,0
access_odoocms_student_profilechange_attribute_coordinator,access.odoocms.student.profilechange.attribute.coordinator,model_odoocms_student_profilechange_attribute,odoocms.group_cms_coordinator,1,1,1,0
access_odoocms_student_profilechange_attribute_manager,access.odoocms.student.profilechange.attribute.manager,model_odoocms_student_profilechange_attribute,odoocms.group_cms_manager,1,1,1,1

access_odoocms_holidays_public_user,access.odoocms.holidays.public.user,model_odoocms_holidays_public,odoocms.group_cms_user,1,1,1,0
access_odoocms_holidays_public_coordinator,access.odoocms.holidays.public.coordinator,model_odoocms_holidays_public,odoocms.group_cms_coordinator,1,1,1,0
access_odoocms_holidays_public_manager,access.odoocms.holidays.public.manager,model_odoocms_holidays_public,odoocms.group_cms_manager,1,1,1,1

access_odoocms_profs_user,odoocms.profs,model_odoocms_profs,base.group_user,1,1,1,1

access_odoocms_semester_user,access.odoocms.semester.user,model_odoocms_semester,odoocms.group_cms_user,1,0,0,0
access_odoocms_semester_manager,access.odoocms.semester.manager,model_odoocms_semester,odoocms.group_cms_manager,1,1,1,0

access_odoocms_selections_user,access.odoocms.selections.user,model_odoocms_selections,base.group_user,1,0,0,0
access_odoocms_selections_system,access.odoocms.selections.manager,model_odoocms_selections,base.group_system,1,1,1,0
access_odoocms_selections_fields_user,access.odoocms.selections.fields.user,model_odoocms_selections_fields,base.group_user,1,0,0,0
access_odoocms_selections_fields_system,access.odoocms.selections.fields.manager,model_odoocms_selections_fields,base.group_system,1,1,1,0

access_odoocms_batch_user,access.odoocms.batch.user,model_odoocms_batch,base.group_user,1,1,1,0

access_odoocms_student_tag_change_user,access.odoocms.student_tag_change.user,model_odoocms_student_tag_change,base.group_user,1,0,0,0
access_odoocms_student_tag_change_tags,access.odoocms.student_tag_change.tags,model_odoocms_student_tag_change,odoocms.group_cms_tags,1,1,1,0

access_odoocms_student_state_change_user,access.odoocms.student_state_change.user,model_odoocms_student_state_change,base.group_user,1,0,0,0
access_odoocms_student_state_change_tags,access.odoocms.student_state_change.tags,model_odoocms_student_state_change,odoocms.group_cms_tags,1,1,1,0

access_odoocms_week_day_user,access.odoocms.week.day.user,odoocms.model_odoocms_week_day,odoocms.group_cms_user,1,1,1,0
access_odoocms_week_day_manager,access.odoocms.week.day.manager,odoocms.model_odoocms_week_day,odoocms.group_cms_manager,1,1,1,1

access_odoocms_error_reporting,odoocms_error_reporting,model_odoocms_error_reporting,odoocms.group_cms_manager,1,1,1,0

access_odoocms_course_type,odoocms.course.type,model_odoocms_course_type,base.group_user,1,1,1,0

access_odoocms_components,odoocms.components,model_odoocms_components,base.group_user,1,1,1,1

