External ID,Suggested value,Score for this choice
__export__.survey_label_6215_44ff01c9,"14. Facilities provided at the library e.g. latest books, access to journals etc. are sufficient.",0
__export__.survey_label_6216_d4b5ad78,15. Updated data-streams were made available for research/assignments in this course.,0
__export__.survey_label_6217_2eee5906,16. There was enough exposure to practical applications of this course.,0
__export__.survey_label_6263_9f47d3ab,Excellent,5
__export__.survey_label_6264_b301d949,V Good,4
__export__.survey_label_6265_1127441c,Good,3
__export__.survey_label_6266_d7f197a9,Avg,2
__export__.survey_label_6267_8aee360a,Poor,1
__export__.survey_label_6268_550d0b77,Excellent,5
__export__.survey_label_6269_8aa85cae,V Good,4
__export__.survey_label_6270_97869263,Good,3
__export__.survey_label_6271_75974aed,Avg,2
__export__.survey_label_6272_4654bd9c,Poor,1
__export__.survey_label_6273_c7c2fe6f,Excellent,5
__export__.survey_label_6274_6edf06e7,V Good,4
__export__.survey_label_6275_f4d06875,Good,3
__export__.survey_label_6276_55fdde7f,Avg,2
__export__.survey_label_6277_132dac8a,Poor,1
__export__.survey_label_6278_c5be5ce7,Excellent,5
__export__.survey_label_6279_287dcf25,V Good,4
__export__.survey_label_6280_d9fd0e86,Good,3
__export__.survey_label_6281_3e5b453b,Avg,2
__export__.survey_label_6282_ece77c72,Poor,1
__export__.survey_label_6283_8c0aa501,Excellent,5
__export__.survey_label_6284_1db7dacb,V Good,4
__export__.survey_label_6285_8ee360af,Good,3
__export__.survey_label_6286_f36bcae3,Avg,2
__export__.survey_label_6287_878ca7e7,Poor,1
__export__.survey_label_6288_0b0eeb92,1. Relevance and aptness of courses covered,0
__export__.survey_label_6289_6c8b5f0b,2. Problem formulation and solving skills.,0
__export__.survey_label_6290_0596df70,3. Designing model/framework/ or process.,0
__export__.survey_label_6291_6f494ef8,4. Collecting and analyzing appropriate data.,0
__export__.survey_label_6292_e06b6dd9,5. Ability to link theory to practice.,0
__export__.survey_label_6293_d2541f9a,6. Ability to link theory to practice.,0
__export__.survey_label_6294_d1d41249,7. Oral communication,0
__export__.survey_label_6295_28a0ef57,8. Written Communication.,0
__export__.survey_label_6296_b120d18c,9. Presentation skills,0
__export__.survey_label_6297_633a75ff,10. Ability to work in teams.,0
__export__.survey_label_6298_860f71f7,11. Ability to work in arduous/challenging situations.,0
__export__.survey_label_6299_2f852876,12. Independent thinking.,0
__export__.survey_label_6300_c6061ec9,13. Appreciation of Ethical values.,0
__export__.survey_label_6301_628ce893,14. Resource management skills.,0
__export__.survey_label_6302_3df7a13d,15. Time management skills.,0
__export__.survey_label_6303_225aca30,16. Decision making ability.,0
__export__.survey_label_6304_0700fe62,17. Professional discipline.,0
__export__.survey_label_6305_42a8225d,18. Infrastructure,0
__export__.survey_label_6306_d67b6aea,19. Faculty,0
__export__.survey_label_6307_6ec72246,20. Repute at national level.,0
__export__.survey_label_6308_ca1ad40f,21. Repute at international level.,0
__export__.survey_label_6309_8ab72379,Excellent,5
__export__.survey_label_6310_aeb80f6e,V Good,4
__export__.survey_label_6311_536f92fa,Good,3
__export__.survey_label_6312_174acbcd,Avg,2
__export__.survey_label_6313_541f4e08,Poor,1
__export__.survey_label_6314_e55d0e15,Excellent,5
__export__.survey_label_6315_92f98892,V Good,4
__export__.survey_label_6316_53a70798,Good,3
__export__.survey_label_6317_89f25808,Avg,2
__export__.survey_label_6318_8b83249c,Poor,1
__export__.survey_label_6319_cfea9430,Excellent,5
__export__.survey_label_6320_275fb0f7,V Good,4
__export__.survey_label_6321_a154556c,Good,3
__export__.survey_label_6322_fe2df367,Avg,2
__export__.survey_label_6323_1213317c,Poor,1
__export__.survey_label_6334_74784162,1. Subject Knowledge of their job function,0
__export__.survey_label_6335_dd07cda5,2. Problem identification and solving skills,0
__export__.survey_label_6336_293859f8,3. Information analysis & interpretation skills,0
__export__.survey_label_6337_1ad4ed66,4. Ability to link theory to practice,0
__export__.survey_label_6338_59181682,5. Ability to design a model/framework/system component or process,0
__export__.survey_label_6339_bfe1d2a0,6. IT Knowledge,0
__export__.survey_label_6340_17fd5b94,7. Oral communication,0
__export__.survey_label_6341_7feeaa6f,8. Report writing/ Written Communication.,0
__export__.survey_label_6342_13f2ae4d,9. Presentation skills,0
__export__.survey_label_6343_1f9d732d,10. Teamwork.,0
__export__.survey_label_6344_3c19a1a9,11. Leadership,0
__export__.survey_label_6345_70d34672,12. Independent thinking.,0
__export__.survey_label_6346_c569a271,13. Ability to take initiative,0
__export__.survey_label_6642_e6da2161,Excellent,5
__export__.survey_label_6643_c3565343,V Good,4
__export__.survey_label_6644_7c852ca4,Good,3
__export__.survey_label_6645_185a6756,Avg,2
__export__.survey_label_6646_bb7ee472,Poor,1
__export__.survey_label_6652_79cec0a7,1. The course objectives were clear,0
__export__.survey_label_6653_23556e66,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_6654_9a4bae4d,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_6655_16d77913,4. Regular classes were conducted during the course,0
__export__.survey_label_6656_e31391ce,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_6657_4d566d7c,6. The course increased my knowledge in the subject area,0
__export__.survey_label_6658_29309cec,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_6659_fb5e63b6,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_6660_d5985b64,9. The instructor was responsive to the students queries,0
__export__.survey_label_6661_a863a699,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_6662_991aabf3,11. This course stimulated my interest,0
__export__.survey_label_6663_55bf4926,12. This course intellectually challenged me,0
__export__.survey_label_6664_fc743e15,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_6665_55dac37c,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_6666_c8a0c8eb,15. The assessments and their feedback were timely shared,0
__export__.survey_label_9528_6c8411d8,Excellent,5
__export__.survey_label_9529_6e2ca394,V Good,4
__export__.survey_label_9530_1b83c1dd,Good,3
__export__.survey_label_9531_043ab826,Avg,2
__export__.survey_label_9532_7e9ac033,Poor,1
__export__.survey_label_9538_2243257f,1. The course objectives were clear,0
__export__.survey_label_9539_93a76312,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_9540_98539360,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_9541_938e1ba8,4. Regular classes were conducted during the course,0
__export__.survey_label_9542_94557101,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_9543_d0483dcf,6. The course increased my knowledge in the subject area,0
__export__.survey_label_9544_1d9fc29a,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_9545_12da459c,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_9546_54167e8e,9. The instructor was responsive to the students queries,0
__export__.survey_label_9547_ae86782e,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_9548_bc933814,11. This course stimulated my interest,0
__export__.survey_label_9549_cb8f0283,12. This course intellectually challenged me,0
__export__.survey_label_9550_3fe06dc9,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_9551_fdfc239c,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_9552_2700b10b,15. The assessments and their feedback were timely shared,0
__export__.survey_label_9568_902dfbec,Excellent,5
__export__.survey_label_9569_5b649b1b,V Good,4
__export__.survey_label_9570_f99ff5fd,Good,3
__export__.survey_label_9571_3ea30645,Avg,2
__export__.survey_label_9572_494e9c26,Poor,1
__export__.survey_label_9573_53c881d7,Excellent,5
__export__.survey_label_9574_efd70b4f,V Good,4
__export__.survey_label_9575_dd7c29f2,Good,3
__export__.survey_label_9576_b017d5b7,Avg,2
__export__.survey_label_9577_0a9d0371,Poor,1
__export__.survey_label_9578_346b40de,1. The course objectives were clear,0
__export__.survey_label_9579_276d853c,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_9580_1d8d851d,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_9581_aaf44da6,4. Regular classes were conducted during the course,0
__export__.survey_label_9582_a01ec503,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_9583_0670f6c1,6. The course increased my knowledge in the subject area,0
__export__.survey_label_9584_8cc7e416,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_9585_598feb76,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_9586_c26a3fb8,9. The instructor was responsive to the students queries,0
__export__.survey_label_9587_c845b3d7,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_9588_00c67202,11. This course stimulated my interest,0
__export__.survey_label_9589_65abce78,12. This course intellectually challenged me,0
__export__.survey_label_9590_5b7b613a,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_9591_b46bfd37,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_9592_4479b45c,15. The assessments and their feedback were timely shared,0
__export__.survey_label_9593_ef7ce634,1. The course objectives were clear,0
__export__.survey_label_9594_c3dc0960,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_9595_59c303e3,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_9596_e7445dcd,4. Regular classes were conducted during the course,0
__export__.survey_label_9597_f6b76991,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_9598_a15c8faa,6. The course increased my knowledge in the subject area,0
__export__.survey_label_9599_a7c4767a,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_9600_d268f3b2,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_9601_a22ca463,9. The instructor was responsive to the students queries,0
__export__.survey_label_9602_18ce2979,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_9603_5a62a532,11. This course stimulated my interest,0
__export__.survey_label_9604_4986f039,12. This course intellectually challenged me,0
__export__.survey_label_9605_3f64290e,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_9606_e19644c8,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_9607_14dcde08,15. The assessments and their feedback were timely shared,0
__export__.survey_label_9608_79c4c180,Excellent,5
__export__.survey_label_9609_d48879d1,V Good,4
__export__.survey_label_9610_060276da,Good,3
__export__.survey_label_9611_8ff7cc80,Avg,2
__export__.survey_label_9612_faf6511a,Poor,1
__export__.survey_label_9613_9b3f3d19,Excellent,5
__export__.survey_label_9614_362d602f,V Good,4
__export__.survey_label_9615_c55918f4,Good,3
__export__.survey_label_9616_ce229f74,Avg,2
__export__.survey_label_9617_f453f926,Poor,1
__export__.survey_label_9618_7a395017,1. The course objectives were clear,0
__export__.survey_label_9619_821affde,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_9620_32b1cc9f,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_9621_b8e060c3,4. Regular classes were conducted during the course,0
__export__.survey_label_9622_4f0d776a,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_9623_0d561e40,6. The course increased my knowledge in the subject area,0
__export__.survey_label_9624_3d2d056e,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_9625_2d81eb74,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_9626_fd06cc39,9. The instructor was responsive to the students queries,0
__export__.survey_label_9627_ff0e6f96,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_9628_fd610729,11. This course stimulated my interest,0
__export__.survey_label_9629_b5c6d972,12. This course intellectually challenged me,0
__export__.survey_label_9630_8b62c347,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_9631_016459ef,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_9632_56de0632,15. The assessments and their feedback were timely shared,0
__export__.survey_label_9633_18c2e93a,1. The course objectives were clear,0
__export__.survey_label_9634_dd252969,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_9635_dbc31803,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_9636_aae0e164,4. Regular classes were conducted during the course,0
__export__.survey_label_9637_0cc6dfdb,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_9638_f22fb2e8,6. The course increased my knowledge in the subject area,0
__export__.survey_label_9639_db80dea5,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_9640_4b1c1938,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_9641_83271f8c,9. The instructor was responsive to the students queries,0
__export__.survey_label_9642_ef70ac16,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_9643_b2aa1685,11. This course stimulated my interest,0
__export__.survey_label_9644_0548d9f7,12. This course intellectually challenged me,0
__export__.survey_label_9645_072afe84,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_9646_43f09d16,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_9647_bcf93428,15. The assessments and their feedback were timely shared,0
__export__.survey_label_9648_9a6e467d,Excellent,5
__export__.survey_label_9649_8e375ca3,V Good,4
__export__.survey_label_9650_142bfc67,Good,3
__export__.survey_label_9651_9f06e429,Avg,2
__export__.survey_label_9652_73caba33,Poor,1
__export__.survey_label_9653_7dae0e0e,Excellent,5
__export__.survey_label_9654_460ccbcf,V Good,4
__export__.survey_label_9655_869da9a4,Good,3
__export__.survey_label_9656_7edb46b1,Avg,2
__export__.survey_label_9657_d4c32fd9,Poor,1
__export__.survey_label_9658_c1a4740f,1. The course objectives were clear,0
__export__.survey_label_9659_0244a6b2,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_9660_452eca1c,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_9661_67afeb37,4. Regular classes were conducted during the course,0
__export__.survey_label_9662_47002f1e,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_9663_b299738c,6. The course increased my knowledge in the subject area,0
__export__.survey_label_9664_7599b5a1,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_9665_884d1ee6,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_9666_9e9ffb47,9. The instructor was responsive to the students queries,0
__export__.survey_label_9667_0bb062ae,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_9668_67db6478,11. This course stimulated my interest,0
__export__.survey_label_9669_53710b2f,12. This course intellectually challenged me,0
__export__.survey_label_9670_3a31128b,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_9671_b6ecb153,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_9672_7e0fd931,15. The assessments and their feedback were timely shared,0
__export__.survey_label_9673_39732c11,1. The course objectives were clear,0
__export__.survey_label_9674_897c69b8,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_9675_1745f191,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_9676_5f775bcb,4. Regular classes were conducted during the course,0
__export__.survey_label_9677_26e973b8,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_9678_dc4d65a6,6. The course increased my knowledge in the subject area,0
__export__.survey_label_9679_228eeb0c,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_9680_1d87554a,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_9681_e28c4586,9. The instructor was responsive to the students queries,0
__export__.survey_label_9682_c4e29e61,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_9683_90944518,11. This course stimulated my interest,0
__export__.survey_label_9684_a6c8538b,12. This course intellectually challenged me,0
__export__.survey_label_9685_ca401767,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_9686_ba37e762,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_9687_b38c9667,15. The assessments and their feedback were timely shared,0
__export__.survey_label_9688_0a4ecc90,Excellent,5
__export__.survey_label_9689_cef9822e,V Good,4
__export__.survey_label_9690_979797ca,Good,3
__export__.survey_label_9691_be857bd0,Avg,2
__export__.survey_label_9692_15690bb3,Poor,1
__export__.survey_label_9693_4507a625,Excellent,5
__export__.survey_label_9694_2b453cc1,V Good,4
__export__.survey_label_9695_ac1c049d,Good,3
__export__.survey_label_9696_9a9de285,Avg,2
__export__.survey_label_9697_6135133a,Poor,1
__export__.survey_label_9698_e29314e9,1. The course objectives were clear,0
__export__.survey_label_9699_51c7f604,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_9700_76b458a7,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_9701_d74399a4,4. Regular classes were conducted during the course,0
__export__.survey_label_9702_73a25390,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_9703_2db7436e,6. The course increased my knowledge in the subject area,0
__export__.survey_label_9704_2032ac16,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_9705_f5aa703a,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_9706_473482ef,9. The instructor was responsive to the students queries,0
__export__.survey_label_9707_4d501d95,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_9708_1ed63e89,11. This course stimulated my interest,0
__export__.survey_label_9709_129aed81,12. This course intellectually challenged me,0
__export__.survey_label_9710_ad1de761,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_9711_f587bfa5,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_9712_a513639f,15. The assessments and their feedback were timely shared,0
__export__.survey_label_9713_10b5ad9d,1. The course objectives were clear,0
__export__.survey_label_9714_beae87a7,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_9715_ac767008,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_9716_6f450f5a,4. Regular classes were conducted during the course,0
__export__.survey_label_9717_cdd08f53,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_9718_86af10c7,6. The course increased my knowledge in the subject area,0
__export__.survey_label_9719_51cfb1cb,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_9720_55ba2816,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_9721_1c39f717,9. The instructor was responsive to the students queries,0
__export__.survey_label_9722_bef62d2b,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_9723_551c293a,11. This course stimulated my interest,0
__export__.survey_label_9724_37605275,12. This course intellectually challenged me,0
__export__.survey_label_9725_9eaf68b0,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_9726_c1bb3088,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_9727_f22f4536,15. The assessments and their feedback were timely shared,0
__export__.survey_label_9728_dde188ec,Excellent,5
__export__.survey_label_9729_b6eb8304,V Good,4
__export__.survey_label_9730_640df33a,Good,3
__export__.survey_label_9731_8c0a4a2e,Avg,2
__export__.survey_label_9732_82d21e62,Poor,1
__export__.survey_label_9733_bba19594,Excellent,5
__export__.survey_label_9734_0d1b4e26,V Good,4
__export__.survey_label_9735_aabf38b1,Good,3
__export__.survey_label_9736_c9ba33d3,Avg,2
__export__.survey_label_9737_99a48d87,Poor,1
__export__.survey_label_9738_da216db3,1. The course objectives were clear,0
__export__.survey_label_9739_ba9d8e76,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_9740_88589ed9,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_9741_151f2834,4. Regular classes were conducted during the course,0
__export__.survey_label_9742_0655139f,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_9743_afc88373,6. The course increased my knowledge in the subject area,0
__export__.survey_label_9744_6678fe1e,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_9745_4cfe6dd5,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_9746_c17d9d37,9. The instructor was responsive to the students queries,0
__export__.survey_label_9747_1a50aa9e,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_9748_f7db2730,11. This course stimulated my interest,0
__export__.survey_label_9749_d0a0dbb0,12. This course intellectually challenged me,0
__export__.survey_label_9750_293fc944,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_9751_faeaa9fe,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_9752_0ed7d6e0,15. The assessments and their feedback were timely shared,0
__export__.survey_label_9753_c3e5ea1e,1. The course objectives were clear,0
__export__.survey_label_9754_72674eeb,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_9755_fbdc609f,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_9756_7a8c4b77,4. Regular classes were conducted during the course,0
__export__.survey_label_9757_9585f0d6,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_9758_75ba737b,6. The course increased my knowledge in the subject area,0
__export__.survey_label_9759_c6d5e97f,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_9760_5f41665e,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_9761_5b30b11a,9. The instructor was responsive to the students queries,0
__export__.survey_label_9762_102be083,10. The overall environment in the class was conducive to learning,0
__export__.survey_label_9763_31137163,11. This course stimulated my interest,0
__export__.survey_label_9764_9302b189,12. This course intellectually challenged me,0
__export__.survey_label_9765_eb3a2337,13. The learning resources regarding the course were adequate and appropriate in the library,0
__export__.survey_label_9766_49765bf0,14. Recommended reading Books etc. were relevant and appropriate,0
__export__.survey_label_9767_9c0f24fa,15. The assessments and their feedback were timely shared,0
__export__.survey_label_9768_f630b93d,Excellent,5
__export__.survey_label_9769_897f00d3,V Good,4
__export__.survey_label_9770_c716f951,Good,3
__export__.survey_label_9771_af43f399,Avg,2
__export__.survey_label_9772_2bfcf271,Poor,1
__export__.survey_label_9773_a0089e45,Excellent,5
__export__.survey_label_9774_1f6ca715,V Good,4
__export__.survey_label_9775_b000a61e,Good,3
__export__.survey_label_9776_74779bb3,Avg,2
__export__.survey_label_9777_a2037739,Poor,1
__export__.survey_label_9778_ef37e0e8,1. The course objectives were clear,0
__export__.survey_label_9779_ae6414e0,2. The course workload was manageable and credit hours were sufficient for the topics  to be covered,0
__export__.survey_label_9780_b6c4f98a,3. The Course was well organized with even distribution of the contents and assessments,0
__export__.survey_label_9781_c9335174,4. Regular classes were conducted during the course,0
__export__.survey_label_9782_d3347ef1,5. Learning aids were utilized to deliver the contents properly and efficiently,0
__export__.survey_label_9783_86d85b6f,6. The course increased my knowledge in the subject area,0
__export__.survey_label_9784_0cdc8fd8,7. I think I have made intellectual progress (apart from the grades) in this course,0
__export__.survey_label_9785_b31caa9f,"8. The course was taught  with a good balance of lectures, tutorials, practical examples etc.",0
__export__.survey_label_9786_05672e15,9. The instructor was responsive to the students queries,0
